Datum;Artikel_ID;Kunde;Menge
2015-01-01;Artikel_2;Kunde_29;2
2015-01-01;Artikel_32;Kunde_24;1
2015-01-01;Artikel_13;Kunde_12;2
2015-01-01;Artikel_37;Kunde_18;1
2015-01-01;Artikel_43;Kunde_29;1
2015-01-02;Artikel_93;Kunde_28;-1
2015-01-02;Artikel_55;Kunde_22;2
2015-01-02;Artikel_90;Kunde_27;1
2015-01-02;Artikel_88;Kunde_22;3
2015-01-02;Artikel_19;Kunde_22;1
2015-01-02;Artikel_3;Kunde_27;-1
2015-01-02;Artikel_15;Kunde_30;-1
2015-01-05;Artikel_74;Kunde_27;1
2015-01-05;Artikel_42;Kunde_17;1
2015-01-05;Artikel_15;Kunde_2;2
2015-01-05;Artikel_28;Kunde_28;2
2015-01-05;Artikel_74;Kunde_19;1
2015-01-05;Artikel_80;Kunde_19;1
2015-01-05;Artikel_74;Kunde_28;3
2015-01-06;Artikel_90;Kunde_10;-1
2015-01-06;Artikel_4;Kunde_3;1
2015-01-06;Artikel_19;Kunde_21;1
2015-01-06;Artikel_15;Kunde_4;2
2015-01-06;Artikel_99;Kunde_17;3
2015-01-07;Artikel_4;Kunde_3;2
2015-01-07;Artikel_83;Kunde_15;2
2015-01-07;Artikel_3;Kunde_15;1
2015-01-07;Artikel_95;Kunde_28;1
2015-01-07;Artikel_86;Kunde_11;2
2015-01-08;Artikel_70;Kunde_12;1
2015-01-08;Artikel_93;Kunde_27;1
2015-01-08;Artikel_52;Kunde_18;1
2015-01-08;Artikel_48;Kunde_14;2
2015-01-08;Artikel_8;Kunde_26;1
2015-01-08;Artikel_65;Kunde_24;3
2015-01-08;Artikel_80;Kunde_19;2
2015-01-09;Artikel_17;Kunde_14;-1
2015-01-09;Artikel_84;Kunde_5;1
2015-01-09;Artikel_47;Kunde_15;1
2015-01-09;Artikel_91;Kunde_28;2
2015-01-09;Artikel_40;Kunde_17;2
2015-01-12;Artikel_47;Kunde_14;1
2015-01-12;Artikel_79;Kunde_18;1
2015-01-12;Artikel_17;Kunde_17;2
2015-01-12;Artikel_52;Kunde_28;3
2015-01-12;Artikel_23;Kunde_24;1
2015-01-12;Artikel_83;Kunde_4;1
2015-01-12;Artikel_8;Kunde_27;-1
2015-01-13;Artikel_47;Kunde_6;3
2015-01-13;Artikel_3;Kunde_2;3
2015-01-13;Artikel_75;Kunde_16;1
2015-01-13;Artikel_84;Kunde_14;1
2015-01-13;Artikel_58;Kunde_26;-1
2015-01-13;Artikel_65;Kunde_22;1
2015-01-13;Artikel_41;Kunde_1;1
2015-01-13;Artikel_73;Kunde_24;-1
2015-01-14;Artikel_75;Kunde_19;3
2015-01-14;Artikel_28;Kunde_22;2
2015-01-14;Artikel_57;Kunde_3;-1
2015-01-14;Artikel_44;Kunde_2;1
2015-01-14;Artikel_31;Kunde_14;1
2015-01-15;Artikel_80;Kunde_17;1
2015-01-15;Artikel_11;Kunde_24;-1
2015-01-15;Artikel_8;Kunde_10;2
2015-01-15;Artikel_13;Kunde_7;3
2015-01-15;Artikel_73;Kunde_25;2
2015-01-16;Artikel_87;Kunde_16;2
2015-01-16;Artikel_80;Kunde_19;1
2015-01-16;Artikel_67;Kunde_24;1
2015-01-19;Artikel_35;Kunde_12;1
2015-01-19;Artikel_46;Kunde_26;1
2015-01-19;Artikel_45;Kunde_15;2
2015-01-19;Artikel_97;Kunde_2;-1
2015-01-20;Artikel_5;Kunde_2;2
2015-01-20;Artikel_38;Kunde_3;1
2015-01-20;Artikel_33;Kunde_6;1
2015-01-20;Artikel_22;Kunde_19;1
2015-01-20;Artikel_33;Kunde_22;1
2015-01-20;Artikel_4;Kunde_12;2
2015-01-20;Artikel_58;Kunde_10;-1
2015-01-21;Artikel_94;Kunde_1;1
2015-01-21;Artikel_75;Kunde_26;1
2015-01-21;Artikel_58;Kunde_17;3
2015-01-21;Artikel_18;Kunde_19;2
2015-01-21;Artikel_38;Kunde_20;-1
2015-01-21;Artikel_44;Kunde_29;-1
2015-01-21;Artikel_75;Kunde_26;2
2015-01-21;Artikel_73;Kunde_24;1
2015-01-21;Artikel_70;Kunde_22;1
2015-01-21;Artikel_32;Kunde_27;3
2015-01-22;Artikel_8;Kunde_22;1
2015-01-22;Artikel_65;Kunde_20;1
2015-01-22;Artikel_48;Kunde_6;1
2015-01-23;Artikel_46;Kunde_29;1
2015-01-23;Artikel_94;Kunde_12;3
2015-01-23;Artikel_58;Kunde_29;2
2015-01-23;Artikel_48;Kunde_18;2
2015-01-23;Artikel_51;Kunde_22;1
2015-01-23;Artikel_50;Kunde_3;3
2015-01-26;Artikel_86;Kunde_12;-1
2015-01-26;Artikel_15;Kunde_10;3
2015-01-26;Artikel_5;Kunde_20;1
2015-01-27;Artikel_80;Kunde_29;1
2015-01-27;Artikel_42;Kunde_2;1
2015-01-27;Artikel_57;Kunde_22;3
2015-01-27;Artikel_84;Kunde_25;1
2015-01-27;Artikel_65;Kunde_5;1
2015-01-27;Artikel_14;Kunde_17;1
2015-01-28;Artikel_68;Kunde_27;2
2015-01-28;Artikel_100;Kunde_17;2
2015-01-28;Artikel_39;;1
2015-01-28;Artikel_58;Kunde_22;2
2015-01-28;Artikel_39;Kunde_29;1
2015-01-28;Artikel_15;Kunde_19;1
2015-01-28;Artikel_1;Kunde_18;3
2015-01-29;Artikel_18;Kunde_12;-1
2015-01-29;Artikel_59;Kunde_2;1
2015-01-29;Artikel_78;Kunde_14;-1
2015-01-29;Artikel_23;Kunde_26;3
2015-01-30;Artikel_26;Kunde_24;2
2015-01-30;Artikel_8;Kunde_5;1
2015-01-30;Artikel_95;Kunde_1;3
2015-01-30;Artikel_47;Kunde_10;2
2015-01-30;Artikel_4;Kunde_19;3
2015-01-30;Artikel_62;Kunde_2;1
2015-01-30;Artikel_47;Kunde_29;2
2015-01-30;Artikel_60;Kunde_8;2
2015-02-02;Artikel_51;Kunde_16;1
2015-02-02;Artikel_11;Kunde_10;3
2015-02-02;Artikel_51;Kunde_10;3
2015-02-02;Artikel_93;Kunde_28;1
2015-02-02;Artikel_47;Kunde_4;2
2015-02-02;Artikel_84;Kunde_16;2
2015-02-02;Artikel_59;Kunde_22;1
2015-02-02;Artikel_35;Kunde_17;1
2015-02-02;Artikel_36;Kunde_22;3
2015-02-03;Artikel_34;Kunde_5;2
2015-02-03;Artikel_67;Kunde_16;2
2015-02-03;Artikel_97;Kunde_6;2
2015-02-03;Artikel_60;Kunde_22;3
2015-02-03;Artikel_49;Kunde_8;2
2015-02-03;Artikel_80;Kunde_22;1
2015-02-03;Artikel_17;Kunde_19;2
2015-02-03;Artikel_45;Kunde_27;2
2015-02-04;Artikel_18;Kunde_24;3
2015-02-04;Artikel_18;Kunde_15;-1
2015-02-04;Artikel_65;Kunde_20;3
2015-02-04;Artikel_27;Kunde_16;3
2015-02-04;Artikel_92;Kunde_18;1
2015-02-04;Artikel_99;Kunde_23;-1
2015-02-04;Artikel_13;Kunde_5;3
2015-02-05;Artikel_65;Kunde_1;1
2015-02-05;Artikel_50;Kunde_7;1
2015-02-05;Artikel_56;Kunde_12;1
2015-02-05;Artikel_94;Kunde_23;2
2015-02-05;Artikel_60;Kunde_1;1
2015-02-06;Artikel_66;;1
2015-02-06;Artikel_23;Kunde_14;1
2015-02-06;Artikel_51;Kunde_26;3
2015-02-06;Artikel_14;Kunde_14;1
2015-02-06;Artikel_23;Kunde_4;3
2015-02-06;Artikel_82;Kunde_3;1
2015-02-09;Artikel_59;Kunde_4;1
2015-02-09;Artikel_15;Kunde_15;2
2015-02-09;Artikel_82;Kunde_24;3
2015-02-09;Artikel_74;Kunde_10;3
2015-02-09;Artikel_51;Kunde_29;3
2015-02-09;Artikel_81;Kunde_2;1
2015-02-10;Artikel_39;Kunde_20;-1
2015-02-10;Artikel_60;Kunde_3;1
2015-02-10;Artikel_97;Kunde_17;2
2015-02-10;Artikel_35;Kunde_8;1
2015-02-10;Artikel_5;Kunde_4;1
2015-02-10;Artikel_86;Kunde_22;3
2015-02-10;Artikel_29;Kunde_17;1
2015-02-10;Artikel_11;Kunde_17;2
2015-02-10;Artikel_27;Kunde_2;1
2015-02-10;Artikel_83;Kunde_22;1
2015-02-10;Artikel_84;Kunde_1;1
2015-02-10;Artikel_74;Kunde_4;1
2015-02-10;Artikel_97;Kunde_10;1
2015-02-11;Artikel_15;Kunde_15;2
2015-02-11;Artikel_8;Kunde_24;1
2015-02-11;Artikel_39;Kunde_12;2
2015-02-11;Artikel_80;Kunde_27;1
2015-02-11;Artikel_59;Kunde_2;1
2015-02-11;Artikel_40;Kunde_1;2
2015-02-12;Artikel_77;Kunde_18;-1
2015-02-12;Artikel_67;Kunde_2;-1
2015-02-12;Artikel_44;Kunde_24;1
2015-02-12;Artikel_1;Kunde_2;3
2015-02-12;Artikel_45;Kunde_28;2
2015-02-12;Artikel_13;Kunde_3;1
2015-02-12;Artikel_48;Kunde_16;2
2015-02-13;Artikel_27;Kunde_8;1
2015-02-13;Artikel_42;Kunde_29;2
2015-02-13;Artikel_75;Kunde_20;1
2015-02-16;Artikel_80;Kunde_12;2
2015-02-16;Artikel_71;Kunde_2;1
2015-02-16;Artikel_75;Kunde_19;2
2015-02-16;Artikel_59;Kunde_20;1
2015-02-16;Artikel_73;Kunde_4;2
